image_id,brand_id
69f94d80b293362dbe209df7,67e2b88e3678da4755d463c8
69f94d7fb293362dbe209df6,686e8fbcd2da3c08547951e1
69f94d7eb293362dbe209df5,67b84f998bf10d5e04a427a4
69f94d7db293362dbe209df4,67e2b88e3678da4755d463c8
69f94d79b293362dbe209df3,67b81a6d8bf10d5e04a3d41b
69f94d77b293362dbe209df2,688affd9647dcc2f75f247db
69f94d71b293362dbe209df1,67b84f998bf10d5e04a427a4
69f94d6fb293362dbe209df0,67b850d34b31535e279e62e5
69f94d6ab293362dbe209def,67e2ba3e3678da4755d46517
69f94d68b293362dbe209dee,67e2ba3e3678da4755d46517
69f94d66b293362dbe209ded,67e2ba3e3678da4755d46517
69f94d64b293362dbe209dec,67b850d34b31535e279e62e5
69f94d53b293362dbe209deb,67b854c38bf10d5e04a42e20
69f94d51b293362dbe209dea,67b854c38bf10d5e04a42e20
69f94d4fb293362dbe209de9,67b854c38bf10d5e04a42e20
69f94d4db293362dbe209de8,67b854c38bf10d5e04a42e20
69f94d49b293362dbe209de7,67b864544b31535e279e79a3
69f94d29b293362dbe209de6,67b89e0f7857415e0a4ed4cf
69f94d27b293362dbe209de5,67b89e0f7857415e0a4ed4cf
69f94d1cb293362dbe209de4,67b89b364b31535e279ed49b
69f94d1ab293362dbe209de3,68cbf92dc7d0095e76afb66b
69f94d18b293362dbe209de2,67b89b364b31535e279ed49b
69f94d0cb293362dbe209de1,68caa908e9cf45645321e78d
69f94d0ab293362dbe209de0,68cbf917c7d0095e76afb65e
69f94d07b293362dbe209ddf,67b87b5f7857415e0a4e838e
69f94cfbb293362dbe209dde,68e3afc39253995e8788c990
69f94cf9b293362dbe209ddd,68e3afc39253995e8788c990
69f94cf7b293362dbe209ddc,68e3afc39253995e8788c990
69f94cf4b293362dbe209ddb,68e3afc39253995e8788c990
69f94cf2b293362dbe209dda,68e3afc39253995e8788c990
69f94ce5b293362dbe209dd8,67e2a9d83678da4755d456e8
69f94cdab293362dbe209dd7,67b8529a8bf10d5e04a42c72
69f94cd8b293362dbe209dd3,67b8529a8bf10d5e04a42c72
69f94cd6b293362dbe209dcf,67b863779b10d35e1c1aca59
69f94cd4b293362dbe209dce,67b8529a8bf10d5e04a42c72
69f94cd2b293362dbe209dca,67b8529a8bf10d5e04a42c72
69f94cd0b293362dbe209dc9,67b8529a8bf10d5e04a42c72
69f94ccfb293362dbe209dc8,686e8fbcd2da3c08547951e1
69f94cc1b293362dbe209dc7,67b8529a8bf10d5e04a42c72
69f94cb4b293362dbe209dc6,67e2a9d83678da4755d456e8
69f94c6ab293362dbe209dc5,67b8517a4b31535e279e63d1
69f94c66b293362dbe209dc4,686e6748d2da3c085479511f
69f94c5fb293362dbe209dc3,67b8a4fd7857415e0a4ee1d0
69f94c4eb293362dbe209dc2,68e3af1d9253995e8788c95b
69f94c4cb293362dbe209dc1,68e3af1d9253995e8788c95b
69f94c4ab293362dbe209dc0,68caa8a8e9cf45645321e768
69f94c47b293362dbe209dbf,67e2aa514f1381473b0afb48
69f94c3cb293362dbe209dbe,67b8529a8bf10d5e04a42c72
69f94c23b293362dbe209dbc,67b81db99b10d35e1c1a6988
69f94c21b293362dbe209dbb,67b8360a9b10d35e1c1a8775
69f94c1fb293362dbe209dba,67b827094b31535e279e2783
69f94c1db293362dbe209db9,67b827094b31535e279e2783
69f94c1bb293362dbe209db8,67e39bea70c52d474f678621
69f94c19b293362dbe209db7,67e39bea70c52d474f678621
69f94c15b293362dbe209db6,67b8529a8bf10d5e04a42c72
69f94c13b293362dbe209db5,67b8529a8bf10d5e04a42c72
69f94c11b293362dbe209db4,67b863779b10d35e1c1aca59
69f94c0eb293362dbe209db3,68e3aea29253995e8788c91a
69f94c0cb293362dbe209db2,68caa908e9cf45645321e78d
69f94c0ab293362dbe209db1,67b863779b10d35e1c1aca59
69f94c08b293362dbe209db0,68caa908e9cf45645321e78d
69f94c06b293362dbe209daf,67b863779b10d35e1c1aca59
69f94bf5b293362dbe209d9f,67b863779b10d35e1c1aca59
